,index,city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,order_for_place,place_type,state
0,736,Afonso Cláudio,3200102,565,1847.25038,2020-08-07,0.0212,12,30586.0,True,127,city,ES
1,737,Água Doce do Norte,3200169,131,1188.85561,2020-08-07,0.0458,6,11019.0,True,100,city,ES
2,738,Águia Branca,3200136,236,2447.62497,2020-08-07,0.0127,3,9642.0,True,100,city,ES
3,739,Alegre,3200201,253,840.97859,2020-08-07,0.0553,14,30084.0,True,107,city,ES
4,740,Alfredo Chaves,3200300,284,1945.07226,2020-08-07,0.0176,5,14601.0,True,116,city,ES
5,741,Alto Rio Novo,3200359,119,1518.63196,2020-08-07,0.0672,8,7836.0,True,128,city,ES
6,742,Anchieta,3200409,611,2087.96091,2020-08-07,0.0278,17,29263.0,True,112,city,ES
7,743,Apiacá,3200508,97,1281.88186,2020-08-07,0.0206,2,7567.0,True,109,city,ES
8,744,Aracruz,3200607,2528,2497.53013,2020-08-07,0.0225,57,101220.0,True,127,city,ES
9,745,Atilio Vivacqua,3200706,226,1893.43164,2020-08-07,0.0177,4,11936.0,True,100,city,ES
10,746,Baixo Guandu,3200805,546,1761.40396,2020-08-07,0.0256,14,30998.0,True,100,city,ES
11,747,Barra de São Francisco,3200904,358,801.79171,2020-08-07,0.0419,15,44650.0,True,100,city,ES
12,748,Boa Esperança,3201001,293,1948.52697,2020-08-07,0.041,12,15037.0,True,121,city,ES
13,749,Bom Jesus do Norte,3201100,218,2194.04187,2020-08-07,0.0229,5,9936.0,True,113,city,ES
14,750,Brejetuba,3201159,327,2636.24637,2020-08-07,0.0,0,12404.0,True,112,city,ES
15,751,Cachoeiro de Itapemirim,3201209,3860,1847.13742,2020-08-07,0.0293,113,208972.0,True,139,city,ES
16,752,Cariacica,3201308,9327,2446.20166,2020-08-07,0.0378,353,381285.0,True,139,city,ES
17,753,Castelo,3201407,892,2376.51196,2020-08-07,0.0258,23,37534.0,True,133,city,ES
18,754,Colatina,3201506,4204,3431.86475,2020-08-07,0.0202,85,122499.0,True,125,city,ES
19,755,Conceição da Barra,3201605,196,630.97576,2020-08-07,0.051,10,31063.0,True,100,city,ES
20,756,Conceição do Castelo,3201704,167,1312.58351,2020-08-07,0.018,3,12723.0,True,100,city,ES
21,757,Divino de São Lourenço,3201803,105,2439.59108,2020-08-07,0.0,0,4304.0,True,100,city,ES
22,758,Domingos Martins,3201902,535,1580.50222,2020-08-07,0.015,8,33850.0,True,107,city,ES
23,759,Dores do Rio Preto,3202009,60,889.0206,2020-08-07,0.0167,1,6749.0,True,100,city,ES
24,760,Ecoporanga,3202108,446,1945.64411,2020-08-07,0.0157,7,22923.0,True,100,city,ES
25,761,Fundão,3202207,512,2380.3989,2020-08-07,0.0312,16,21509.0,True,126,city,ES
26,762,Governador Lindenberg,3202256,132,1038.63404,2020-08-07,0.0,0,12709.0,True,100,city,ES
27,763,Guaçuí,3202306,259,839.08381,2020-08-07,0.0463,12,30867.0,True,107,city,ES
28,764,Guarapari,3202405,2174,1741.16403,2020-08-07,0.0382,83,124859.0,True,131,city,ES
29,765,Ibatiba,3202454,335,1284.4107,2020-08-07,0.0299,10,26082.0,True,100,city,ES
30,766,Ibiraçu,3202504,429,3437.77546,2020-08-07,0.021,9,12479.0,True,122,city,ES
31,767,Ibitirama,3202553,80,899.98875,2020-08-07,0.05,4,8889.0,True,100,city,ES
32,768,Iconha,3202603,342,2467.53247,2020-08-07,0.0,0,13860.0,True,102,city,ES
33,769,Importados/Indefinidos,,841,,2020-08-07,0.0155,13,,True,135,city,ES
34,770,Irupi,3202652,185,1382.97077,2020-08-07,0.0216,4,13377.0,True,107,city,ES
35,771,Itaguaçu,3202702,102,725.15285,2020-08-07,0.0098,1,14066.0,True,100,city,ES
36,772,Itapemirim,3202801,781,2273.78596,2020-08-07,0.0474,37,34348.0,True,131,city,ES
37,773,Itarana,3202900,68,644.24443,2020-08-07,0.0147,1,10555.0,True,100,city,ES
38,774,Iúna,3203007,512,1755.76969,2020-08-07,0.0371,19,29161.0,True,100,city,ES
39,775,Jaguaré,3203056,383,1256.68537,2020-08-07,0.0157,6,30477.0,True,100,city,ES
40,776,Jerônimo Monteiro,3203106,164,1345.14436,2020-08-07,0.0366,6,12192.0,True,114,city,ES
41,777,João Neiva,3203130,337,2021.83825,2020-08-07,0.0178,6,16668.0,True,112,city,ES
42,778,Laranja da Terra,3203163,70,639.4446,2020-08-07,0.0143,1,10947.0,True,100,city,ES
43,779,Linhares,3203205,4800,2765.69387,2020-08-07,0.016,77,173555.0,True,140,city,ES
44,780,Mantenópolis,3203304,173,1127.03583,2020-08-07,0.0289,5,15350.0,True,100,city,ES
45,781,Marataízes,3203320,1019,2646.822,2020-08-07,0.0432,44,38499.0,True,102,city,ES
46,782,Marechal Floriano,3203346,621,3719.89937,2020-08-07,0.0274,17,16694.0,True,104,city,ES
47,783,Marilândia,3203353,312,2431.23198,2020-08-07,0.0096,3,12833.0,True,100,city,ES
48,784,Mimoso do Sul,3203403,608,2324.7811,2020-08-07,0.0066,4,26153.0,True,100,city,ES
49,785,Montanha,3203502,160,849.57256,2020-08-07,0.0375,6,18833.0,True,100,city,ES
50,786,Mucurici,3203601,53,959.44967,2020-08-07,0.0189,1,5524.0,True,100,city,ES
51,787,Muniz Freire,3203700,142,813.05468,2020-08-07,0.0282,4,17465.0,True,100,city,ES
52,788,Muqui,3203809,282,1825.36086,2020-08-07,0.0319,9,15449.0,True,100,city,ES
53,789,Nova Venécia,3203908,718,1432.84773,2020-08-07,0.032,23,50110.0,True,121,city,ES
54,790,Pancas,3204005,400,1725.32781,2020-08-07,0.015,6,23184.0,True,100,city,ES
55,791,Pedro Canário,3204054,318,1214.48213,2020-08-07,0.0283,9,26184.0,True,112,city,ES
56,792,Pinheiros,3204104,403,1489.99889,2020-08-07,0.0372,15,27047.0,True,100,city,ES
57,793,Piúma,3204203,423,1948.32113,2020-08-07,0.026,11,21711.0,True,109,city,ES
58,794,Ponto Belo,3204252,48,610.45403,2020-08-07,0.0208,1,7863.0,True,100,city,ES
59,795,Presidente Kennedy,3204302,585,5054.43235,2020-08-07,0.0291,17,11574.0,True,112,city,ES
60,796,Rio Bananal,3204351,227,1185.93595,2020-08-07,0.0308,7,19141.0,True,100,city,ES
61,797,Rio Novo do Sul,3204401,285,2452.24574,2020-08-07,0.0386,11,11622.0,True,112,city,ES
62,798,Santa Leopoldina,3204500,183,1497.05497,2020-08-07,0.0328,6,12224.0,True,116,city,ES
63,799,Santa Maria de Jetibá,3204559,405,1001.70661,2020-08-07,0.0198,8,40431.0,True,114,city,ES
64,800,Santa Teresa,3204609,407,1725.30733,2020-08-07,0.0172,7,23590.0,True,136,city,ES
65,801,São Domingos do Norte,3204658,208,2407.96481,2020-08-07,0.0385,8,8638.0,True,100,city,ES
66,802,São Gabriel da Palha,3204708,1072,2824.99275,2020-08-07,0.0121,13,37947.0,True,118,city,ES
67,803,São José do Calçado,3204807,241,2283.06177,2020-08-07,0.0124,3,10556.0,True,117,city,ES
68,804,São Mateus,3204906,1592,1218.88662,2020-08-07,0.027,43,130611.0,True,130,city,ES
69,805,São Roque do Canaã,3204955,152,1224.32541,2020-08-07,0.0395,6,12415.0,True,132,city,ES
70,806,Serra,3205002,11504,2222.95221,2020-08-07,0.0385,443,517510.0,True,136,city,ES
71,807,Sooretama,3205010,587,1952.11174,2020-08-07,0.0153,9,30070.0,True,126,city,ES
72,808,Vargem Alta,3205036,328,1532.56705,2020-08-07,0.0274,9,21402.0,True,100,city,ES
73,809,Venda Nova do Imigrante,3205069,646,2555.68303,2020-08-07,0.0124,8,25277.0,True,120,city,ES
74,810,Viana,3205101,1470,1878.85837,2020-08-07,0.0381,56,78239.0,True,128,city,ES
75,811,Vila Pavão,3205150,53,575.58645,2020-08-07,0.0189,1,9208.0,True,100,city,ES
76,812,Vila Valério,3205176,318,2258.52273,2020-08-07,0.0314,10,14080.0,True,113,city,ES
77,813,Vila Velha,3205200,13143,2661.39908,2020-08-07,0.0321,422,493838.0,True,140,city,ES
78,814,Vitória,3205309,11747,3244.15833,2020-08-07,0.0316,371,362097.0,True,140,city,ES
79,815,,32,89923,2237.64199,2020-08-07,0.03,2698,4018650.0,True,155,state,ES
